cwe,richness,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,L1.name,L2.name,L3.name,geometry
0.023866642,75,15.061124801635742,20.785499572753903,9.19849967956543,756,161,1,93.951019287109375,421,7,13,421,15.203083992004396,54.56957244873047,478.6549377441406,30.703001022338867,2.8429999351501465,27.86000061035156,9.19849967956543,20.579500198364254,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-217500, 37500)"
0.025724829,15,15.275250434875488,20.926666259765625,9.171833038330078,687,146,1,93.34649658203124,379,7,12,379,15.01866626739502,53.75712966918945,488.71295166015625,30.68899917602539,2.750999927520752,27.937999725341797,9.171833038330078,20.85700035095215,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-202500, 37500)"
0.012475661,36,14.968083381652832,21.92333221435547,8.356833457946777,787,172,1,94.203338623046875,438,9,15,438,13.845666885375977,48.36745071411133,558.192626953125,31.486000061035156,2.859999895095825,28.625999450683594,8.356833457946777,21.553667068481445,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-187500, 37500)"
0.01103058,29,16.186582565307617,23.162832260131836,8.899333953857422,599,139,1,98.47943878173828,347,5,5,347,15.121000289916992,48.6894645690918,592.663818359375,33.92499923706055,2.86899995803833,31.055999755859375,8.899333953857422,23.162832260131836,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-172500, 37500)"
0.107071919,28,15.53575038909912,21.948667526245117,8.377166748046875,492,112,1,96.05171966552734,280,5,5,280,14.66450023651123,49.25104904174805,563.25579833984375,32.1609992980957,2.385999917984009,29.774999618530273,10.041333198547363,21.948667526245117,Mediterranean california,Mediterranean california,Central california valley,"c(-157500, 37500)"
0.019443214,80,15.60458278656006,22.104999542236328,8.459333419799805,450,99,1,93.5753402709961,254,6,6,250,14.119832992553713,48.00215530395508,566.59344482421875,32.18299865722656,2.7679998874664307,29.41499900817871,10.156499862670898,22.104999542236328,Mediterranean california,Mediterranean california,Central california valley,"c(-142500, 37500)"
0.031286823,82,15.868000030517578,22.69066619873047,8.548999786376953,451,97,1,91.20926666259766,250,7,7,245,14.313499450683594,47.53262710571289,587.2646484375,32.861000061035156,2.747999906539917,30.113000869750977,10.241000175476074,22.69066619873047,Mediterranean california,Mediterranean california,Central california valley,"c(-127500, 37500)"
0.078034348,7,15.908791542053224,23.024999618530273,8.397500038146973,479,97,2,88.04822540283203,258,8,8,249,14.698749542236328,47.41838073730469,606.43719482421875,33.4370002746582,2.439000129699707,30.998001098632812,10.090332984924316,23.024999618530273,Mediterranean california,Mediterranean california,Central california valley,"c(-112500, 37500)"
0.013199033,19,16.304792404174805,24.171167373657227,8.524999618530273,605,116,3,85.817962646484375,319,11,11,300,15.166916847229004,46.08604431152344,650.5548095703125,35.222999572753906,2.312999963760376,32.90999984741211,10.064332962036133,24.171167373657227,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-82500, 37500)"
0.048655591,28,15.338666915893556,23.622499465942383,7.811999797821045,851,160,4,85.02314758300781,435,15,25,420,15.643333435058594,47.1397705078125,655.1346435546875,34.58300018310547,1.3980000019073486,33.185001373291016,8.951666831970215,23.367000579833984,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-67500, 37500)"
